Car_Body,Car_Name,Year,Engine,Transmission,Fueltype,Mileage,Price
Van,Sienta,2021,1500,Automatic,Hybrid,122000,5500000
Hatchback,Cast,2020,660,Automatic,Petrol,67019,2600000
Hatchback,Wagon,2015,660,Automatic,Petrol,120000,2800000
Crossover,C-HR,2018,1800,Automatic,Hybrid,80000,9800000
Sedan,Civic,2015,1800,Automatic,Petrol,107149,3650000
Crossover,X2,2019,1500,Automatic,Petrol,7000,16500000
Hatchback,Ek,2019,660,Automatic,Petrol,23146,3600000
SUV,Rover,2020,2000,Automatic,Petrol,65000,80000000
Crossover,Vezel,2015,1500,Automatic,Petrol,114000,5575000
SUV,Land,2015,4600,Automatic,Petrol,70000,28200000
Hatchback,Note,2016,1198,Automatic,Hybrid,73000,3925000
Crossover,Vezel,2018,1500,Automatic,Hybrid,70000,7150000
Hatchback,Passo,2020,1000,Automatic,Petrol,28020,4150000
SUV,Fortuner,2022,2800,Automatic,Diesel,31000,19500000
SUV,Tucson,2022,1999,Automatic,Petrol,3500,8950000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,103000,4225000
Mini Van,Hijet,2021,660,Automatic,Petrol,129000,1680000
Hatchback,Vitz,2019,1000,Automatic,Petrol,54000,4000000
Hatchback,Boon,2016,1000,Automatic,Petrol,60000,3300000
Hatchback,N,2016,660,Automatic,Petrol,47000,3050000
Hatchback,Aqua,2018,1500,Automatic,Hybrid,25000,6100000
Hatchback,Alto,2016,660,Automatic,Petrol,88000,3000000
Hatchback,Passo,2020,1000,Automatic,Petrol,18000,4550000
Hatchback,Passo,2020,1000,Automatic,Petrol,38000,4550000
Sedan,Corolla,2017,1500,Automatic,Petrol,63000,6250000
Hatchback,Mira,2019,660,Automatic,Petrol,29000,3400000
Crossover,Vezel,2016,1500,Automatic,Petrol,96500,5275000
Crossover,Rocky,2021,1000,Automatic,Petrol,9000,5600000
Hatchback,Mira,2020,660,Automatic,Petrol,75000,3450000
Hatchback,Boon,2020,996,Automatic,Petrol,47000,4250000
Crossover,Vezel,2015,1500,Automatic,Hybrid,78000,5500000
SUV,Land,2016,4600,Automatic,Petrol,35000,44500000
Hatchback,Alto,2021,660,Automatic,Petrol,9500,3850000
Crossover,Vezel,2015,1500,Automatic,Hybrid,98000,5200000
Hatchback,Mira,2017,660,Automatic,Petrol,99000,2150000
Hatchback,N,2016,660,Automatic,Petrol,90000,2800000
Hatchback,Mira,2017,660,Automatic,Petrol,65398,2890000
Hatchback,Vitz,2018,996,Automatic,Petrol,30000,4185000
Hatchback,Alto,2021,660,Automatic,Petrol,46000,3450000
Mini Vehicles,Taft,2020,660,Automatic,Petrol,16500,4600000
Hatchback,Aqua,2018,1500,Automatic,Hybrid,104000,5975000
Sedan,Benz,2020,2000,Automatic,Petrol,20000,38500000
SUV,Vitara,2017,1600,Automatic,Petrol,91500,5100000
SUV,Prado,2018,2700,Automatic,Petrol,48000,10200000
Sedan,Premio,2019,1500,Automatic,Petrol,19000,12000000
Hatchback,Vitz,2018,996,Automatic,Petrol,70000,4350000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,96000,4300000
Hatchback,Mira,2016,660,Automatic,Petrol,98000,2650000
Crossover,Vezel,2016,1500,Automatic,Petrol,46000,7235000
Sedan,Civic,2022,1500,Automatic,Petrol,27000,8050000
Hatchback,Mira,2021,660,Automatic,Petrol,17000,3820000
SUV,Tucson,2021,1999,Automatic,Petrol,40000,8050000
Hatchback,Alto,2017,660,Automatic,Petrol,48000,2950000
Crossover,Vezel,2018,1500,Automatic,Petrol,58653,9000000
Crossover,Vezel,2018,1500,Automatic,Hybrid,63000,9000000
Crossover,Rocky,2020,1000,Automatic,Petrol,25575,6500000
Sedan,Corolla,2015,1798,Automatic,Petrol,120000,4400000
Station Wagon,Corolla,2017,1500,Automatic,Petrol,88000,6200000
SUV,Prado,2016,2700,Automatic,Petrol,51000,20900000
Crossover,Vezel,2015,1500,Automatic,Hybrid,97000,5100000
SUV,Prado,2017,2700,Automatic,Petrol,50000,26500000
Crossover,Vezel,2016,1500,Automatic,Petrol,95000,6400000
Hatchback,Alto,2020,660,Automatic,Petrol,9500,3325000
Crossover,Raize,2021,996,Automatic,Petrol,15000,4500000
Hatchback,Dayz,2022,660,Automatic,Hybrid,6000,4250000
SUV,LX,2022,3400,Automatic,Petrol,335,170000000
Crossover,Vezel,2017,1500,Automatic,Petrol,125000,7500000
SUV,Land,2022,3500,Automatic,Petrol,5463,93500000
SUV,Land,2015,4600,Automatic,Petrol,75000,40000000
Hatchback,Boon,2018,996,Automatic,Petrol,36500,3950000
SUV,Prado,2018,2700,Automatic,Petrol,36227,29500000
Crossover,X7,2019,3000,Automatic,Petrol,200,95000000
Hatchback,Passo,2015,1000,Automatic,Petrol,110000,2900000
Sedan,Corolla,2015,1500,Automatic,Hybrid,134000,5000000
Hatchback,Note,2019,1198,Automatic,Hybrid,25000,6100000
Crossover,Vezel,2015,1500,Automatic,Hybrid,89894,5500000
Hatchback,Passo,2021,1000,Automatic,Petrol,8000,4800000
SUV,Land,2018,4600,Automatic,Petrol,68700,55000000
Crossover,Vezel,2016,1500,Automatic,Hybrid,55116,5750000
Hatchback,Vitz,2015,1000,Automatic,Petrol,52000,3280000
Hatchback,Vitz,2015,1000,Automatic,Petrol,61000,3050000
SUV,Land,2017,4600,Automatic,Petrol,64500,35400000
SUV,Land,2017,4600,Automatic,Petrol,51000,40000000
Sedan,Corolla,2019,1600,Automatic,Petrol,33100,4950000
Crossover,Vezel,2017,1500,Automatic,Hybrid,111258,4600000
Mini Van,Hijet,2018,660,Automatic,Petrol,99000,2650000
Hatchback,Passo,2017,1000,Automatic,Petrol,72000,3650000
Hatchback,Passo,2020,1000,Automatic,Petrol,20000,4600000
Crossover,Kicks,2021,1300,Automatic,Petrol,28000,8700000
Double Cabin,Hilux,2018,2800,Automatic,Diesel,55000,13700000
Crossover,Vezel,2021,1496,Automatic,Hybrid,21000,14000000
Crossover,Vezel,2021,1496,Automatic,Hybrid,19000,13000000
SUV,Prado,2016,2700,Automatic,Petrol,45600,25500000
Hatchback,Vitz,2018,1000,Automatic,Petrol,90000,4225000
MPV,Tank,2019,1000,Automatic,Petrol,42300,4800000
Hatchback,Swift,2018,1000,Automatic,Petrol,36000,4800000
SUV,Land,2015,4608,Automatic,Petrol,72000,36000000
Hatchback,Vitz,2020,1000,Automatic,Petrol,13000,5275000
Hatchback,Dayz,2020,660,Automatic,Hybrid,7900,4050000
Compact sedan,City,2022,1497,Automatic,Petrol,25000,4910000
Sedan,Civic,2017,1800,Automatic,Petrol,218000,4870000
SUV,LX,2018,5700,Automatic,Petrol,35000,79000000
Sedan,A4,2018,1400,Automatic,Petrol,65000,12500000
MPV,Freed,2017,1500,Automatic,Petrol,56000,5200000
MPV,Noah,2015,1800,Automatic,Petrol,146000,6295000
Crossover,Rocky,2021,1000,Automatic,Petrol,16000,6450000
SUV,Land,2018,4600,Automatic,Petrol,1,52000000
SUV,Prado,2017,2700,Automatic,Petrol,35000,29500000
SUV,Land,2016,4600,Automatic,Petrol,78000,44500000
Sedan,City,2020,1300,Manual,Petrol,74000,3950000
Mini Van,Clipper,2019,660,Automatic,Petrol,126000,2350000
Crossover,HS,2021,1500,Automatic,Petrol,16000,7200000
Station Wagon,Prius,2018,1800,Automatic,Petrol,96000,6000000
Hatchback,Aygo,2015,1000,Automatic,Petrol,40000,2700000
Hatchback,N,2019,660,Automatic,Petrol,28102,3400000
Hatchback,Dayz,2020,660,Automatic,Hybrid,36696,3750000
Sedan,A6,2020,2000,Automatic,Petrol,31000,30500000
Crossover,Harrier,2015,2000,Automatic,Hybrid,135000,13500000
Van,Sienta,2016,1500,Automatic,Hybrid,60000,5800000
Crossover,C-HR,2017,1800,Automatic,Hybrid,90000,7300000
Sedan,Corolla,2015,1600,Automatic,Petrol,192500,3200000
Mini Van,Hijet,2018,660,Automatic,Petrol,27000,2650000
SUV,Prado,2018,2700,Automatic,Petrol,33000,25300000
Crossover,Vezel,2019,1500,Automatic,Hybrid,35000,9200000
High Roof,Hiace,2019,2700,Automatic,Petrol,33000,9200000
Crossover,C-HR,2017,1800,Automatic,Hybrid,89766,8500000
SUV,Land,2017,4600,Automatic,Petrol,70000,40000000
Sedan,Insight,2021,1500,Automatic,Hybrid,33000,15000000
SUV,Prado,2018,2700,Automatic,Petrol,25000,26000000
MPV,Freed,2022,1500,Automatic,Petrol,22500,3850000
Hatchback,Swift,2022,1242,Automatic,Petrol,26000,4490000
Sedan,Corolla,2017,1500,Automatic,Petrol,65000,7700000
SUV,Tucson,2021,1999,Automatic,Petrol,43000,8295000
Crossover,HS,2021,1500,Automatic,Petrol,11766,9500000
Hatchback,Wagon,2016,660,Automatic,Petrol,82400,2400000
Hatchback,Move,2015,660,Automatic,Petrol,133890,2800000
Crossover,Vezel,2017,1500,Automatic,Hybrid,78000,7700000
Sedan,Premio,2019,1500,Automatic,Petrol,52000,9490000
Hatchback,Mira,2017,660,Automatic,Petrol,51510,3050000
Hatchback,Dayz,2016,660,Automatic,Petrol,80000,2500000
Sedan,A5,2019,1400,Automatic,Petrol,66000,19000000
Sedan,Corolla,2015,1300,Manual,Petrol,87000,2850000
Crossover,Jolion,2021,1500,Automatic,Petrol,19000,7300000
SUV,Land,2022,3500,Automatic,Petrol,5033,91000000
Crossover,Vezel,2017,1500,Automatic,Petrol,83000,7050000
Sedan,Benz,2017,1600,Automatic,Petrol,15400,18000000
Micro Van,Every,2017,660,Automatic,Petrol,68000,2495000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,160000,3875000
Hatchback,Move,2017,660,Automatic,Petrol,147616,2850000
Micro Van,Every,2015,660,Automatic,Petrol,199999,1530000
Sedan,A6,2016,1800,Automatic,Petrol,55000,14200000
Sedan,Alsvin,2022,1500,Automatic,Petrol,11500,3975000
Hatchback,Vitz,2018,1500,Automatic,Hybrid,79518,4950000
Hatchback,Move,2017,660,Automatic,Petrol,52000,3400000
Sedan,City,2021,1500,Automatic,Petrol,25000,4700000
Hatchback,Mira,2020,660,Automatic,Petrol,6500,3750000
Hatchback,Dayz,2019,660,Automatic,Petrol,69999,2825000
Crossover,Vezel,2018,1500,Automatic,Hybrid,85000,7875000
Crossover,C-HR,2017,1800,Automatic,Hybrid,75000,8000000
Crossover,HS,2021,1500,Automatic,Petrol,53000,7650000
Hatchback,Passo,2017,1000,Automatic,Petrol,72500,3550000
Hatchback,Vitz,2017,996,Automatic,Petrol,72000,3550000
Hatchback,Passo,2018,1000,Automatic,Petrol,36000,4350000
Crossover,Vezel,2016,1500,Automatic,Hybrid,79000,6600000
Crossover,HS,2022,1490,Automatic,Petrol,306,7765000
SUV,Land,2019,4600,Automatic,Petrol,9800,62000000
Micro Van,Every,2015,660,Automatic,Petrol,112000,1395000
Sedan,A4,2017,1400,Automatic,Petrol,160000,10300000
Hatchback,Dayz,2020,660,Automatic,Petrol,17800,3750000
SUV,Prado,2017,2700,Automatic,Petrol,27000,28500000
Hatchback,Vitz,2015,1000,Automatic,Petrol,70000,3150000
SUV,Prado,2017,2700,Automatic,Petrol,61675,29500000
MPV,Noah,2018,1800,Automatic,Petrol,260000,8800000
Hatchback,Alto,2020,660,Automatic,Petrol,16000,3790000
Sedan,Prius,2020,1800,Automatic,Petrol,87000,11000000
MPV,Tank,2019,1000,Automatic,Petrol,12700,4500000
Hatchback,Note,2020,1200,Automatic,Hybrid,18000,7000000
Sedan,Grace,2017,1500,Automatic,Petrol,62000,5500000
Crossover,Vezel,2019,1500,Automatic,Petrol,85000,8500000
Hatchback,Cast,2020,660,Automatic,Petrol,15000,3850000
Hatchback,Jade,2015,1496,Automatic,Hybrid,96000,5100000
Hatchback,Mira,2018,660,Automatic,Petrol,16000,3090000
Hatchback,Mira,2016,660,Automatic,Petrol,930000,2680000
Crossover,Rocky,2020,1000,Automatic,Petrol,43000,6700000
Crossover,Vezel,2015,1500,Automatic,Hybrid,120000,4650000
Hatchback,Passo,2018,1000,Automatic,Petrol,65000,3600000
Hatchback,Wagon,2017,660,Automatic,Hybrid,45000,2900000
Hatchback,Aqua,2018,1500,Automatic,Hybrid,107000,5700000
Sedan,A5,2019,1400,Automatic,Petrol,29000,17000000
Hatchback,Hustler,2020,660,Automatic,Petrol,17500,4300000
Micro Van,Every,2017,660,Automatic,Petrol,70500,1675000
Sedan,Benz,2020,1500,Automatic,Petrol,25516,28500000
Crossover,Vezel,2015,1500,Automatic,Hybrid,93000,4600000
SUV,Prado,2016,2700,Automatic,Petrol,62000,24500000
SUV,Prado,2016,2700,Automatic,Petrol,62000,22500000
Sedan,Civic,2017,1800,Automatic,Petrol,135000,4950000
Hatchback,Corolla,2022,1800,Automatic,Hybrid,11000,12200000
MPV,Roomy,2021,1000,Automatic,Petrol,10081,4700000
MPV,Freed,2018,1500,Automatic,Petrol,950000,6050000
Sedan,A6,2017,1800,Automatic,Petrol,33281,18000000
Crossover,Raize,2022,996,Automatic,Petrol,9000,5800000
Sedan,Benz,2018,4000,Automatic,Petrol,35000,39500000
Crossover,C-HR,2017,1800,Automatic,Hybrid,62000,9245000
Hatchback,Wagon,2019,660,Automatic,Hybrid,55000,3300000
Sedan,A6,2018,1800,Automatic,Petrol,38000,19500000
Compact SUV,Oshan,2022,1499,Automatic,Petrol,6063,8800000
Crossover,Vezel,2015,1500,Automatic,Hybrid,90000,6020000
Hatchback,Wagon,2015,660,Automatic,Petrol,150000,2380000
Hatchback,Vitz,2018,1000,Automatic,Petrol,65000,4100000
Crossover,Vezel,2016,1500,Automatic,Petrol,96365,6200000
Hatchback,Aqua,2016,1500,Automatic,Hybrid,117000,5200000
SUV,Land,2017,4600,Automatic,Petrol,43000,46000000
Hatchback,Aqua,2020,1500,Automatic,Hybrid,18000,6350000
Sedan,Insight,2019,1500,Automatic,Petrol,33754,10100000
Hatchback,Cast,2018,660,Automatic,Petrol,48000,3300000
Hatchback,Wagon,2017,660,Automatic,Petrol,65000,3550000
Crossover,Vezel,2016,1500,Automatic,Petrol,82533,6000000
Sedan,Benz,2022,1500,Automatic,Petrol,3000,39000000
Hatchback,Vitz,2018,1000,Automatic,Petrol,65000,4250000
Hatchback,Passo,2018,996,Automatic,Petrol,78000,3600000
Hatchback,Passo,2019,1000,Automatic,Petrol,37000,4000000
Crossover,C-HR,2018,1800,Automatic,Hybrid,34500,9500000
Hatchback,Alto,2022,660,Manual,Petrol,26786,2350000
Hatchback,Ek,2016,660,Automatic,Petrol,78000,1895000
Crossover,Vezel,2019,1500,Automatic,Petrol,31500,9295000
Hatchback,N,2016,660,Automatic,Petrol,65000,2725000
Crossover,Vezel,2015,1500,Automatic,Hybrid,98000,5520000
Crossover,Vezel,2016,1500,Automatic,Petrol,65000,5950000
Sedan,Civic,2018,1800,Automatic,Petrol,50000,5500000
Crossover,Vezel,2018,1500,Automatic,Petrol,28956,8150000
Hatchback,EK,2020,660,Automatic,Petrol,22000,3620000
Sedan,Corolla,2015,1300,Manual,Petrol,107000,3500000
Sedan,Civic,2018,1800,Automatic,Petrol,100000,5500000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,113000,4165000
Crossover,C-HR,2018,1800,Automatic,Hybrid,70000,9200000
Hatchback,Mira,2015,660,Automatic,Petrol,94800,2575000
Hatchback,Alto,2015,660,Automatic,Petrol,12345,1975000
Hatchback,Aqua,2017,1500,Automatic,Hybrid,150000,5500000
SUV,X70,2021,1500,Automatic,Petrol,7399,8700000
MPV,Grand,2021,3470,Automatic,Petrol,86063,14000000
Mini Van,Note,2019,1198,Automatic,Hybrid,48000,5500000
Hatchback,Passo,2020,1000,Automatic,Petrol,26000,4250000
SUV,Land,2016,4608,Automatic,Petrol,75000,33200000
SUV,X70,2022,1500,Automatic,Petrol,27500,8500000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,85000,4200000
Sedan,Benz,2020,1500,Automatic,Petrol,20000,40000000
Hatchback,Aqua,2016,1500,Automatic,Hybrid,132300,4750000
Compact SUV,Sorento,2022,2400,Automatic,Petrol,11300,8960000
Hatchback,N,2019,660,Automatic,Petrol,16000,3800000
MPV,Prius,2018,1800,Automatic,Petrol,90494,8500000
Hatchback,Passo,2018,1000,Automatic,Petrol,76000,3390000
Hatchback,Aqua,2017,1500,Automatic,Hybrid,90000,5300000
Hatchback,Aqua,2016,1500,Automatic,Hybrid,96000,4230000
MPV,Noah,2015,1800,Automatic,Petrol,170000,5600000
Sedan,Corolla,2016,1300,Automatic,Petrol,90000,3590000
Hatchback,Alto,2019,660,Automatic,Petrol,38000,3350000
Crossover,Vezel,2015,1500,Automatic,Hybrid,89939,6000000
Hatchback,Vitz,2019,1000,Automatic,Petrol,47000,4475000
SUV,Juke,2017,1500,Automatic,Petrol,113000,3400000
Hatchback,Alto,2017,660,Automatic,Petrol,55,2800000
Coupe,Challenger,2016,3600,Automatic,Petrol,51000,27500000
SUV,Land,2022,3500,Automatic,Petrol,9000,87500000
Hatchback,Mira,2020,660,Automatic,Petrol,29000,3650000
Mini Van,Hijet,2017,660,Automatic,Petrol,124112,1385000
Hatchback,Passo,2015,1000,Automatic,Petrol,83800,3100000
Hatchback,Aqua,2017,1500,Automatic,Hybrid,54000,4800000
Hatchback,Vitz,2019,1000,Automatic,Petrol,47000,4600000
Crossover,Vezel,2017,1500,Automatic,Petrol,46800,7000000
Hatchback,Mira,2020,660,Automatic,Petrol,35000,3600000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,135000,4100000
SUV,Land,2016,4600,Automatic,Petrol,67000,45500000
Hatchback,Mira,2015,660,Automatic,Petrol,117000,2150000
Crossover,Jolion,2021,1497,Automatic,Petrol,79000,7850000
Crossover,RX,2016,3500,Automatic,Hybrid,64000,32000000
Hatchback,Vitz,2016,1000,Automatic,Petrol,70000,2345000
Hatchback,Wagon,2019,660,Automatic,Hybrid,41900,3490000
Hatchback,Move,2021,660,Automatic,Petrol,16500,3950000
Crossover,HS,2021,1500,Automatic,Petrol,15000,7500000
Hatchback,Mira,2016,660,Automatic,Petrol,80000,2450000
Micro Van,Every,2021,660,Automatic,Petrol,120000,1785000
Crossover,X1,2017,1500,Automatic,Petrol,62964,7650000
Micro Van,Every,2019,660,Automatic,Petrol,50000,2675000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,65000,4000000
Hatchback,Vitz,2019,996,Automatic,Petrol,28000,4800000
SUV,Terios,2021,660,Manual,Petrol,1000,1850000
Hatchback,Fit,2016,1500,Automatic,Hybrid,100000,3700000
Crossover,C-HR,2017,1800,Automatic,Hybrid,40000,8599000
Crossover,Vezel,2018,1500,Automatic,Petrol,68000,8600000
Hatchback,Alto,2021,660,Automatic,Petrol,76000,3300000
Hatchback,Vitz,2019,1500,Automatic,Hybrid,48000,4850000
Hatchback,Swift,2017,1300,Automatic,Petrol,75000,2695000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,90000,4275000
Hatchback,Wagon,2015,660,Automatic,Petrol,92000,2400000
Hatchback,Mira,2020,660,Automatic,Petrol,36000,3650000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,80000,4550000
Sedan,Prius,2020,1800,Automatic,Hybrid,36000,15000000
SUV,Land,2017,4600,Automatic,Petrol,56000,41500000
Sedan,Panamera,2018,3000,Automatic,Petrol,29000,77500000
Hatchback,Move,2021,660,Automatic,Petrol,58618,3790000
MPV,BR-V,2020,1500,Automatic,Petrol,72000,5400000
MPV,Grand,2022,3500,Automatic,Petrol,12254,13500000
Hatchback,N,2020,660,Automatic,Petrol,30000,3750000
Crossover,Xbee,2018,1000,Automatic,Hybrid,18000,4800000
High Roof,Hiace,2017,3000,Automatic,Diesel,246000,8500000
Hatchback,Mira,2020,660,Automatic,Petrol,99477,3450000
Crossover,Vezel,2018,1500,Automatic,Hybrid,38000,8850000
Sedan,Civic,2017,1800,Automatic,Petrol,110000,5300000
Sedan,Grace,2015,1500,Automatic,Petrol,89000,4600000
Hatchback,Hustler,2017,660,Automatic,Petrol,74000,3300000
Hatchback,Mira,2020,660,Automatic,Petrol,27000,3500000
Crossover,C-HR,2017,1800,Automatic,Hybrid,81000,7600000
SUV,Glory,2019,1498,Automatic,Petrol,120000,4600000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,86000,4350000
Hatchback,Alto,2019,660,Automatic,Petrol,43000,3450000
MPV,Grand,2019,3342,Automatic,Petrol,66600,9500000
Sedan,A3,2015,1200,Automatic,Petrol,94000,6650000
Crossover,Vezel,2017,1500,Automatic,Hybrid,90000,7300000
SUV,Prado,2016,2700,Automatic,Petrol,64000,25500000
Crossover,Q3,2016,1500,Automatic,Petrol,110000,7000000
Van,Sienta,2016,1500,Automatic,Hybrid,91000,5090000
Sedan,Insight,2019,1500,Automatic,Hybrid,23400,8990000
Hatchback,Fit,2021,1500,Automatic,Petrol,4100,8900000
Hatchback,Prius,2020,1800,Automatic,Hybrid,70000,13500000
Hatchback,Mira,2021,660,Automatic,Petrol,6000,3575000
Hatchback,Vitz,2015,1000,Automatic,Petrol,67000,3400000
Sedan,Prius,2015,1800,Automatic,Petrol,175780,6175000
Crossover,Raize,2019,1000,Automatic,Petrol,59037,6000000
Crossover,C-HR,2017,1800,Automatic,Hybrid,36000,9000000
High Roof,Hiace,2019,2700,Automatic,Petrol,100000,9300000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,150000,3699000
Crossover,Vezel,2015,1500,Automatic,Hybrid,72000,5100000
SUV,Fortuner,2021,2700,Automatic,Petrol,32000,17000000
Sedan,Benz,2017,2000,Automatic,Petrol,64000,16000000
Hatchback,Cultus,2018,1000,Manual,Petrol,110000,2450000
SUV,Prado,2018,2700,Automatic,Petrol,61000,30000000
SUV,BJ40,2022,1981,Automatic,Petrol,6000,9550000
Hatchback,Move,2015,660,Automatic,Petrol,65000,2280000
Micro Van,Every,2017,660,Automatic,Petrol,80000,1435000
Sedan,City,2018,1300,Automatic,Petrol,89000,3120000
Hatchback,Move,2016,660,Automatic,Petrol,110000,3250000
Hatchback,N,2019,660,Automatic,Petrol,38000,3650000
Hatchback,Vitz,2018,1000,Automatic,Petrol,95000,4090000
Hatchback,Vitz,2018,1000,Automatic,Petrol,123000,4150000
Hatchback,CT200h,2018,1800,Automatic,Hybrid,45000,9700000
Hatchback,N,2019,660,Automatic,Petrol,33000,3400000
Hatchback,Passo,2020,996,Automatic,Petrol,12000,4450000
Hatchback,N,2018,660,Automatic,Petrol,40000,3500000
Hatchback,Mira,2020,660,Automatic,Petrol,17000,3495000
SUV,Prado,2017,2700,Automatic,Petrol,79000,29500000
Sedan,A4,2019,1400,Automatic,Petrol,11000,16500000
Sedan,Benz,2015,3500,Automatic,Petrol,51000,39500000
Hatchback,Wagon,2021,660,Automatic,Hybrid,23000,4100000
Hatchback,Aqua,2020,1500,Automatic,Hybrid,56000,7500000
Sedan,Ciaz,2017,1400,Automatic,Petrol,12500,3850000
Hatchback,Vitz,2018,996,Automatic,Petrol,85000,3825000
Crossover,C-HR,2018,1800,Automatic,Hybrid,9,9000000
Sedan,Civic,2021,1500,Automatic,Petrol,35000,7800000
Sedan,Corolla,2017,1500,Automatic,Petrol,74000,7050000
Hatchback,Wagon,2020,660,Manual,Hybrid,56854,3975000
Crossover,HS,2021,1500,Automatic,Petrol,26000,7300000
Micro Van,Every,2018,660,Automatic,Petrol,19000,2775000
Hatchback,Dayz,2019,660,Automatic,Hybrid,44260,3990000
Hatchback,Move,2018,660,Automatic,Petrol,18000,3250000
Crossover,Vezel,2021,1500,Automatic,Hybrid,8951,13000000
Sedan,Benz,2015,3000,Automatic,Hybrid,74000,40000000
Double Cabin,Tundra,2018,5700,Automatic,Petrol,3,26000000
Crossover,Cx3,2015,3500,Manual,Diesel,100000,2700000
Sedan,Insight,2019,1500,Automatic,Petrol,75000,10000000
Sedan,Prius,2020,1800,Automatic,Hybrid,59500,9900000
Hatchback,Mira,2016,660,Automatic,Petrol,86000,1985000
Crossover,Vezel,2016,1500,Automatic,Petrol,62500,7200000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,110800,4540000
Crossover,Vezel,2015,1500,Automatic,Hybrid,110000,5200000
Hatchback,Alto,2019,660,Automatic,Petrol,44000,3450000
Hatchback,N,2018,660,Automatic,Petrol,70000,2975000
Hatchback,Note,2017,1198,Automatic,Hybrid,80000,4050000
Hatchback,Dayz,2020,660,Automatic,Petrol,90000,3575000
Hatchback,Alto,2015,660,Automatic,Petrol,85000,2430000
Hatchback,Carol,2015,660,Automatic,Petrol,120000,2280000
Micro Van,Clipper,2016,660,Automatic,Petrol,150000,2360000
Hatchback,Vitz,2017,1000,Automatic,Petrol,130000,2700000
Hatchback,Vitz,2018,1000,Automatic,Petrol,70000,4100000
Hatchback,Passo,2019,1000,Automatic,Petrol,22000,3850000
Van,Hiace,2018,2700,Automatic,Petrol,70000,8300000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,40000,4025000
Sedan,Corolla,2015,1500,Automatic,Hybrid,150000,5200000
Crossover,Vezel,2018,1500,Automatic,Hybrid,20000,8600000
Crossover,HS,2021,1500,Automatic,Petrol,27200,6800000
Hatchback,N,2015,660,Automatic,Petrol,59500,2650000
MPV,Esquire,2018,1800,Automatic,Hybrid,144000,8950000
Crossover,Vezel,2015,1500,Automatic,Hybrid,83000,5450000
Hatchback,Move,2020,660,Automatic,Petrol,55000,3570000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,160000,4500000
Hatchback,Note,2020,1200,Automatic,Hybrid,82405,6040000
Hatchback,Vitz,2017,1000,Automatic,Petrol,78000,3860000
Hatchback,Note,2017,1200,Automatic,Hybrid,69000,4170000
Hatchback,Vitz,2017,1000,Automatic,Petrol,47000,3635000
SUV,Land,2017,4600,Automatic,Petrol,30000,52500000
Crossover,HS,2021,1500,Automatic,Petrol,11500,7250000
Micro Van,Every,2016,660,Automatic,Petrol,99,1400000
SUV,Prado,2018,2700,Automatic,Petrol,76800,32000000
Crossover,Vezel,2016,1500,Automatic,Hybrid,108000,6600000
Hatchback,Aqua,2021,1500,Automatic,Hybrid,56000,9200000
Hatchback,Aqua,2015,1500,Automatic,Hybrid,102000,3800000
Sedan,Civic,2021,1800,Automatic,Petrol,38000,6450000
Hatchback,Wagon,2018,660,Automatic,Hybrid,30000,3200000
Sedan,Corolla,2015,1798,Automatic,Petrol,160000,4800000
Sedan,Corolla,2022,1598,Automatic,Petrol,16000,6500000
Hatchback,Thor,2018,1000,Automatic,Petrol,21000,3375000
SUV,Hilux,2017,2400,Automatic,Diesel,212000,8500000
Sedan,Alsvin,2021,1500,Automatic,Petrol,27000,4300000
Hatchback,Mira,2019,660,Automatic,Petrol,115000,3625000
Sedan,Benz,2020,1991,Automatic,Petrol,6500,47500000
Hatchback,Stella,2016,660,Automatic,Petrol,35000,2600000
Sedan,A4,2017,1400,Automatic,Petrol,108000,11200000
Hatchback,Move,2021,660,Automatic,Petrol,8500,3850000
Hatchback,Note,2017,1198,Automatic,Hybrid,99000,4600000
Hatchback,Cast,2019,660,Automatic,Petrol,1200,3550000
Hatchback,Vitz,2019,1000,Automatic,Petrol,45234,4000000
Sedan,A5,2018,1400,Automatic,Petrol,120000,14800000
Crossover,HS,2022,1500,Automatic,Petrol,19000,7800000
Compact hatchback,Ignis,2016,1200,Automatic,Petrol,129000,3410000
Sedan,Prius,2015,1800,Automatic,Hybrid,85000,6100000
Hatchback,Cast,2020,660,Automatic,Petrol,3900,3950000
SUV,Prado,2018,2700,Automatic,Petrol,49000,33500000
Mini Van,Hijet,2017,660,Automatic,Petrol,133000,1350000
Hatchback,Vitz,2017,1500,Automatic,Hybrid,75056,4550000
Van,Bolan,2021,800,Manual,Petrol,30000,1700000
Crossover,Vezel,2015,1500,Automatic,Hybrid,30000,5500000
